"id","title","link","avgSoldPrice","avgShipping","totalSold","lastDateSold","input","inputRowNumber"
"334043160448","White Acerbis Universal Nost Rear Fender","https://www.ebay.com/itm/334043160448?nordt=true&orig_cvip=true&rt=nc","19.99","4.49","5","2021-11-29","ACERBIS","1"
"115115891403","Acerbis X-Ultimate Handguards White/Black Dirt Bike Motorcycle Hand Guard MX USA","https://www.ebay.com/itm/115115891403?nordt=true&orig_cvip=true&rt=nc","35.42","0","4","2021-12-02","ACERBIS","1"
"144213786018","Acerbis Full Plastic Kit Honda 2019-2021 CRF110F Fenders Shrouds # Number Plates","https://www.ebay.com/itm/144213786018?nordt=true&orig_cvip=true&rt=nc","94.99","22.78","4","2021-12-01","ACERBIS","1"
"154224674497","Acerbis Plastic Side Panels Red Honda CRF450R 2017-2020","https://www.ebay.com/itm/154224674497?nordt=true&orig_cvip=true&rt=nc","52.95","0","4","2021-11-27","ACERBIS","1"
"154683408219","Acerbis Full Plastic Kit Kawasaki '21 KX250F, 2019-21 KX450F Fenders Shrouds","https://www.ebay.com/itm/154683408219?nordt=true&orig_cvip=true&rt=nc","125.49","0","4","2021-11-27","ACERBIS","1"
"163518902919","Acerbis Red Front Fender For Honda 17-2020 CRF450R / 18-2021 CRF250R 2630640227","https://www.ebay.com/itm/163518902919?nordt=true&orig_cvip=true&rt=nc","26.05","27.1","4","2021-11-29","ACERBIS","1"
"164588955495","Acerbis Front Fender fits 2018-2021 Honda CRF250R/RX & 2017-2020 CRF450R/RX","https://www.ebay.com/itm/164588955495?nordt=true&orig_cvip=true&rt=nc","28.95","0","4","2021-11-23","ACERBIS","1"
"164626263512","Acerbis Front Number Plate fits 2017-on KX250 KX250F & 2016-on KX450 KX450F","https://www.ebay.com/itm/164626263512?nordt=true&orig_cvip=true&rt=nc","27.95","0","4","2021-11-22","ACERBIS","1"
"164937566175","Acerbis Front Fender fits 2004-2009 Honda CRF250R & 2004-2008 CRF450R","https://www.ebay.com/itm/164937566175?nordt=true&orig_cvip=true&rt=nc","28.95","63.84","4","2021-11-29","ACERBIS","1"
"203255607554","Acerbis Replica Plastic Kit 98/99 OEM for Yamaha YZ400F 1998-1999 2041260207","https://www.ebay.com/itm/203255607554?nordt=true&orig_cvip=true&rt=nc","117.22","0","4","2021-12-02","ACERBIS","1"
"232939343029","ACERBIS - 2645481007 - X-Ultimate Handguards Black/White 73-0247 0635-1505","https://www.ebay.com/itm/232939343029?nordt=true&orig_cvip=true&rt=nc","35.05","0","5","2021-12-02","ACERBIS","1"
"234200122445","Acerbis Black Rear Fender For KTM 125 150 SX 11-15, SXF XCF 11-15 2205420001","https://www.ebay.com/itm/234200122445?nordt=true&orig_cvip=true&rt=nc","27.32","7.12","5","2021-11-28","ACERBIS","1"
"234212227380","Acerbis Black Complete Plastic Kit For Suzuki DRZ 400 S SM 00-15 2041080001","https://www.ebay.com/itm/234212227380?nordt=true&orig_cvip=true&rt=nc","119.17","27.29","4","2021-11-30","ACERBIS","1"
